1,2011-12,A*,spranjal@iitk.ac.in,Steel Structure
1,2011-12,A,spranjal@iitk.ac.in,Philosophy
1,2011-12,B,spranjal@iitk.ac.in,Compiler Design
1,2011-12,B,gnitish@iitk.ac.in,Compiler Design
1,2011-12,B,gnitish@iitk.ac.in,Algorithms
1,2011-12,C,gnitish@iitk.ac.in,Electronics
1,2011-12,C,pankaj@iitk.ac.in,Compiler Design
1,2011-12,F,pankaj@iitk.ac.in,Electronics
1,2011-12,A,pankaj@iitk.ac.in,Steel Structure
1,2011-12,A,anita@iitk.ac.in,Compiler Design
1,2011-12,B,anita@iitk.ac.in,Steel Structure
1,2011-12,D,anita@iitk.ac.in,Algorithms
1,2011-12,B,lara@iitk.ac.in,Compiler Design
1,2011-12,D,lara@iitk.ac.in,Steel Structure
1,2011-12,E,lara@iitk.ac.in,Electronics
1,2011-12,A,salman@iitk.ac.in,Compiler Design
1,2011-12,C,salman@iitk.ac.in,Steel Structure
1,2011-12,B,salman@iitk.ac.in,Database Systems
1,2011-12,A*,srt@iitk.ac.in,Compiler Design
1,2011-12,C,srt@iitk.ac.in,Steel Structure
1,2011-12,A,srt@iitk.ac.in,Philosophy
1,2011-12,A,pretesh@iitk.ac.in,Compiler Design
1,2011-12,E,pretesh@iitk.ac.in,Steel Structure
1,2011-12,X,pretesh@iitk.ac.in,Philosophy
