2,2012-13,normal,COMPULSORY,spranjal@iitk.ac.in,Electronics
2,2012-13,normal,COMPULSORY,pankaj@iitk.ac.in,Database Systems
2,2012-13,normal,COMPULSORY,anita@iitk.ac.in,Philosophy
2,2012-13,normal,COMPULSORY,lara@iitk.ac.in,Algorithms
2,2012-13,normal,COMPULSORY,salman@iitk.ac.in,Mechanics
2,2012-13,normal,COMPULSORY,srt@iitk.ac.in,Mechanics
2,2012-13,normal,COMPULSORY,pretesh@iitk.ac.in,Algorithms
2,2012-13,normal,COMPULSORY,gnitish@iitk.ac.in,Database Systems
2,2012-13,normal,OE,spranjal@iitk.ac.in,Mechanics
2,2012-13,normal,OE,pankaj@iitk.ac.in,Algorithms
2,2012-13,normal,OE,anita@iitk.ac.in,Mechanics
2,2012-13,normal,OE,lara@iitk.ac.in,Database Systems
2,2012-13,normal,OE,salman@iitk.ac.in,Electronics
2,2012-13,normal,COMPULSORY,srt@iitk.ac.in,Electronics
2,2012-13,normal,COMPULSORY,pretesh@iitk.ac.in,Mechanics
2,2012-13,normal,DE,gnitish@iitk.ac.in,Philosophy
2,2012-13,normal,SE,spranjal@iitk.ac.in,Algorithms
2,2012-13,normal,SE,pankaj@iitk.ac.in,Mechanics
2,2012-13,normal,COMPULSORY,anita@iitk.ac.in,Electronics
2,2012-13,normal,OE,lara@iitk.ac.in,Philosophy
2,2012-13,normal,HSS,salman@iitk.ac.in,Algorithms
2,2012-13,normal,DE,srt@iitk.ac.in,Database Systems
2,2012-13,normal,SE,pretesh@iitk.ac.in,Electronics
2,2012-13,normal,SE,gnitish@iitk.ac.in,Mechanics
